"","date_Q","policy_shock_f"
"1","1976Q1",0
"2","1976Q2",0
"3","1976Q3",0
"4","1976Q4",1
"5","1977Q1",0
"6","1977Q2",1
"7","1977Q3",0
"8","1977Q4",0
"9","1978Q1",0
"10","1978Q2",0
"11","1978Q3",0
"12","1978Q4",0
"13","1979Q1",0
"14","1979Q2",0
"15","1979Q3",0
"16","1979Q4",0
"17","1980Q1",0
"18","1980Q2",0
"19","1980Q3",0
"20","1980Q4",0
"21","1981Q1",0
"22","1981Q2",0
"23","1981Q3",0
"24","1981Q4",0
"25","1982Q1",0
"26","1982Q2",0
"27","1982Q3",0
"28","1982Q4",0
"29","1983Q1",0
"30","1983Q2",0
"31","1983Q3",1
"32","1983Q4",0
"33","1984Q1",0
"34","1984Q2",1
"35","1984Q3",0
"36","1984Q4",0
"37","1985Q1",0
"38","1985Q2",0
"39","1985Q3",0
"40","1985Q4",0
"41","1986Q1",1
"42","1986Q2",1
"43","1986Q3",0
"44","1986Q4",1
"45","1987Q1",0
"46","1987Q2",0
"47","1987Q3",0
"48","1987Q4",0
"49","1988Q1",1
"50","1988Q2",0
"51","1988Q3",0
"52","1988Q4",0
"53","1989Q1",1
"54","1989Q2",0
"55","1989Q3",0
"56","1989Q4",0
"57","1990Q1",0
"58","1990Q2",0
"59","1990Q3",0
"60","1990Q4",0
"61","1991Q1",0
"62","1991Q2",0
"63","1991Q3",1
"64","1991Q4",1
"65","1992Q1",0
"66","1992Q2",1
"67","1992Q3",0
"68","1992Q4",1
"69","1993Q1",0
"70","1993Q2",0
"71","1993Q3",0
"72","1993Q4",0
"73","1994Q1",0
"74","1994Q2",0
"75","1994Q3",0
"76","1994Q4",0
"77","1995Q1",0
"78","1995Q2",0
"79","1995Q3",0
"80","1995Q4",0
"81","1996Q1",0
"82","1996Q2",0
"83","1996Q3",1
"84","1996Q4",0
"85","1997Q1",0
"86","1997Q2",0
"87","1997Q3",1
"88","1997Q4",1
"89","1998Q1",1
"90","1998Q2",0
"91","1998Q3",0
"92","1998Q4",0
"93","1999Q1",0
"94","1999Q2",0
"95","1999Q3",0
"96","1999Q4",0
"97","2000Q1",0
"98","2000Q2",0
"99","2000Q3",1
"100","2000Q4",1
"101","2001Q1",0
"102","2001Q2",0
"103","2001Q3",0
"104","2001Q4",0
"105","2002Q1",0
"106","2002Q2",0
"107","2002Q3",0
"108","2002Q4",0
"109","2003Q1",0
"110","2003Q2",0
"111","2003Q3",0
"112","2003Q4",0
"113","2004Q1",0
"114","2004Q2",0
"115","2004Q3",0
"116","2004Q4",0
"117","2005Q1",0
"118","2005Q2",0
"119","2005Q3",0
"120","2005Q4",0
"121","2006Q1",0
"122","2006Q2",0
"123","2006Q3",0
"124","2006Q4",0
"125","2007Q1",0
"126","2007Q2",0
"127","2007Q3",0
"128","2007Q4",0
"129","2008Q1",1
"130","2008Q2",0
"131","2008Q3",0
"132","2008Q4",0
"133","2009Q1",1
"134","2009Q2",0
"135","2009Q3",0
"136","2009Q4",0
"137","2010Q1",0
"138","2010Q2",0
"139","2010Q3",0
"140","2010Q4",0
"141","2011Q1",0
"142","2011Q2",0
"143","2011Q3",0
"144","2011Q4",0
"145","2012Q1",0
"146","2012Q2",0
"147","2012Q3",0
"148","2012Q4",0
"149","2013Q1",0
"150","2013Q2",0
"151","2013Q3",0
"152","2013Q4",0
"153","2014Q1",0
"154","2014Q2",0
"155","2014Q3",0
"156","2014Q4",0
"157","2015Q1",0
"158","2015Q2",0
"159","2015Q3",0
"160","2015Q4",0
"161","2016Q1",0
"162","2016Q2",0
"163","2016Q3",0
"164","2016Q4",0
"165","2017Q1",0
"166","2017Q2",0
"167","2017Q3",0
"168","2017Q4",0
"169","2018Q1",0
"170","2018Q2",0
"171","2018Q3",0
"172","2018Q4",0
"173","2019Q1",0
"174","2019Q2",0
